0__energy_ratio_by_chunks__num_segments_10__segment_focus_4	0__fft_coefficient__attr_"real"__coeff_1	0__fft_coefficient__attr_"imag"__coeff_3	0__fft_coefficient__attr_"angle"__coeff_3	0__agg_linear_trend__attr_"intercept"__chunk_len_50__f_agg_"mean"	0__sum_values	0__fft_coefficient__attr_"real"__coeff_0	0__mean	0__fft_coefficient__attr_"abs"__coeff_0	0__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)	0__c3__lag_3	0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)	0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)	0__median	0__fft_coefficient__attr_"imag"__coeff_4
0.152667341	-0.697081107	-3.20858269	-74.02445174	0.552042837	52.5509612	52.5509612	0.525509612	52.5509612	0.128565987	0.153124684	0.219204849	0.308946638	0.5	0.047084184
0.066224819	2.242887407	2.220414315	94.8567967	0.462390005	47.30387352	47.30387352	0.473038735	47.30387352	0.244855434	0.112803058	0.347012789	0.449391032	0.460606061	-1.258206791
0.189124281	-1.369474206	-6.255777437	-111.2506314	0.580176473	52.17206347	52.17206347	0.521720635	52.17206347	0.216659645	0.155351759	0.315902653	0.412933803	0.513157895	1.740373338
0.04325646	1.940618259	4.930077724	62.90230581	0.449651365	49.37641685	49.37641685	0.493764169	49.37641685	0.134375601	0.143720698	0.232693683	0.329983619	0.477272727	-1.427327709
0.143806292	-0.635071675	-4.657340565	-71.03594079	0.557207303	53.65089339	53.65089339	0.536508934	53.65089339	0.279968823	0.158810489	0.371640384	0.463234019	0.578947368	2.578190601
0.124509122	-2.572201908	-1.721825705	-109.2426002	0.487702655	49.84829696	49.84829696	0.49848297	49.84829696	0.138266503	0.138404148	0.207853935	0.277441441	0.516666667	1.56027533
0.111903589	-0.298909491	0.441522358	176.2271256	0.511527092	51.13042777	51.13042777	0.511304278	51.13042777	0.384084014	0.155434386	0.495533795	0.603980786	0.539393939	1.797666191
0.04670809	1.502260623	1.484221864	18.92466689	0.439161068	45.04752901	45.04752901	0.45047529	45.04752901	0.371442843	0.090932242	0.454599975	0.539330744	0.428571429	-3.731232431
0.15311036	-3.307912456	-2.737142305	-145.2501649	0.554805338	53.92381342	53.92381342	0.539238134	53.92381342	0.226884024	0.186687709	0.313367308	0.398600577	0.591269841	1.718731215
0.134676872	-0.287919815	-2.035904947	-38.72790841	0.569605082	55.62503188	55.62503188	0.556250319	55.62503188	0.078804911	0.186579382	0.185025686	0.292050997	0.581140351	3.909271786
0.066752684	1.871864217	3.020530031	109.7699353	0.523487884	52.44970489	52.44970489	0.524497049	52.44970489	0.337480955	0.146451515	0.46107399	0.584207515	0.5	1.233857505
